index,counts
United States,6513
United Kingdom,1278
Japan,856
Canada,607
Spain,531
Brazil,402
Mexico,293
Germany,288
France,287
Russia,197
Australia,186
Italy,180
Portugal,106
Taiwan,95
Argentina,86
Greece,75
Netherlands,75
Saudi Arabia,73
Sweden,71
Indonesia,70
Poland,69
Chile,68
Finland,62
Malaysia,58
Philippines,54
Belgium,48
Ireland,45
Puerto Rico,44
Ukraine,42
Thailand,42
New Zealand,41
South Africa,39
Colombia,37
Denmark,36
Norway,32
India,30
South Korea,29
Austria,24
Ecuador,22
Venezuela,22
Switzerland,21
Hong Kong,20
Kuwait,20
Turkey,18
Hungary,18
China,17
United Arab Emirates,17
Czechia,16
Singapore,16
Latvia,15
Peru,15
Morocco,14
Nigeria,13
Vietnam,11
Romania,10
Tanzania,10
Costa Rica,10
Panama,9
Egypt,9
Oman,8
Guatemala,8
Slovakia,8
Croatia,8
Israel,7
Lithuania,7
Dominican Republic,7
Greenland,7
Bulgaria,7
Pakistan,6
Belarus,6
Georgia,6
Ghana,6
Zimbabwe,5
Tunisia,5
Bahrain,5
Bolivia,5
El Salvador,5
Estonia,4
Nicaragua,4
Paraguay,4
Qatar,4
Cuba,3
Jersey,3
Honduras,3
Jamaica,3
Antarctica,3
Lebanon,3
Serbia,3
Slovenia,3
Belize,3
Luxembourg,3
Sudan,3
Trinidad and Tobago,2
Malta,2
Barbados,2
Brunei,2
Martinique,2
Algeria,2
Uruguay,2
Jordan,2
Democratic Republic of the Congo,2
Faroe Islands,2
Cayman Islands,2
Maldives,2
Libya,2
Kazakhstan,2
Papua New Guinea,2
Iraq,2
Vanuatu,1
Bhutan,1
Andorra,1
Isle of Man,1
The Bahamas,1
Mauritius,1
U.S. Virgin Islands,1
Myanmar (Burma),1
Bosnia and Herzegovina,1
Réunion,1
Madagascar,1
Bangladesh,1
Azerbaijan,1
Zambia,1
Syria,1
Namibia,1
Macao,1
Iran,1
Gabon,1
Iceland,1
Åland Islands,1
Montenegro,1
Kosovo,1
Nepal,1
Cameroon,1
